Sender1,Sender2,Similarity
Maverick SOB,Twilight G,0.6285
Goldfinger,Jose Topgun,0.6281
Rupert Beae,Bad Boy,0.6259
Mike.Jonson,ladyancy96,0.6258
Goldfinger,Maverick.4444,0.6196
Rupert Beae,Goldfinger,0.6188
Big Boss,Goose.4444,0.6136
Maverick,Twilight G,0.6114
Big Boss,Jose Topgun,0.6044
Big Boss,ladyancy96,0.5909
Maverick,Goose.4444,0.5888
Mike Jonson,Maverick.4444,0.5869
Goose,Twilight Grey,0.5857
Maverick SOB,Goose.4444,0.5824
Goose System,Twilight G,0.5768
Twilight G,46708275344@s.whatsapp.net,0.5749
Unmatched Telegram User,Big Boss,0.5747
Big Boss,Goose,0.5730
Maverick.4444,ladyancy96,0.5715
Maverick SOB,blondtrip24,0.5701
Jose Topgun,Maverick.4444,0.5691
Maverick SOB,Mike.Jonson,0.5673
Rupert Beae,Twilight Grey,0.5650
Jose Topgun,Twilight Grey,0.5603
Goldfinger,Goose.4444,0.5586
Twilight Grey,Goose.4444,0.5544
status@broadcast,Goose System,0.5537
46708275344@s.whatsapp.net,Goose.4444,0.5533
Big Boss,Mike Jonson,0.5513
status@broadcast,Jose Topgun,0.5509
Maverick.4444,Gooooosssse,0.5493
Twilight Grey,Mike.Jonson,0.5492
Goose,Maverick.4444,0.5471
Big Boss,Gooooosssse,0.5440
Bad Boy,Mike.Jonson,0.5419
Goose System,Goose.4444,0.5413
Twilight G,Mike.Jonson,0.5394
status@broadcast,Maverick,0.5381
Michael Jonson,Maverick SOB,0.5380
Rupert Beae,Michael Jonson,0.5367
Maverick,blondtrip24,0.5367
Telegram,Maverick.4444,0.5355
Maverick.4444,Goose.4444,0.5340
Goose System,Mike.Jonson,0.5324
Bad Boy,blondtrip24,0.5304
Maverick,Mike Jonson,0.5298
Goose,Twilight G,0.5289
status@broadcast,Goose,0.5262
status@broadcast,Michael Jonson,0.5244
Goose.4444,blondtrip24,0.5223
Bad Boy,Goose.4444,0.5218
Maverick,Mike.Jonson,0.5218
status@broadcast,46708275344@s.whatsapp.net,0.5213
Maverick SOB,Mike Jonson,0.5191
Michael Jonson,Jose Topgun,0.5178
Goldfinger,Twilight G,0.5168
Michael Jonson,Goose System,0.5166
Bad Boy,Mike Jonson,0.5160
Goose System,blondtrip24,0.5126
Big Boss,Goldy Finger,0.5108
Big Boss,kikteam,0.5106
Twilight Grey,blondtrip24,0.5099
Unmatched Telegram User,Twilight G,0.5099
Goldy Finger,Maverick.4444,0.5090
Twilight G,blondtrip24,0.5089
Michael Jonson,Maverick,0.5030
Maverick.4444,kikteam,0.5023
