Sender1,Sender2,Similarity
Goose,46708275344@s.whatsapp.net,0.7098
Goose,Bad Boy,0.6859
Goose,Maverick.4444,0.5434
Maverick,status@broadcast,0.5356
Maverick,Rupert Beae,0.7248
Maverick,Michael Jonson,0.5006
Maverick,Big Boss,0.7402
Maverick,Maverick SOB,0.9008
Maverick,Goldfinger,0.7212
Maverick,Goldy Finger,0.6994
Maverick,Goose System,0.8859
Maverick,Goose,0.7344
Maverick,Jose Topgun,0.7664
Maverick,Twilight G,0.6039
Maverick,Twilight Grey,0.6790
Maverick,46708275344@s.whatsapp.net,0.9783
Maverick,Bad Boy,0.8098
Maverick,Mike Jonson,0.5051
Maverick,Maverick.4444,0.7422
Maverick,Goose.4444,0.5884
Maverick,Mike.Jonson,0.5186
Maverick,blondtrip24,0.5338
Jose Topgun,status@broadcast,0.7845
Jose Topgun,Rupert Beae,0.8443
Jose Topgun,Michael Jonson,0.5917
Jose Topgun,Big Boss,0.5565
Jose Topgun,Maverick SOB,0.8255
Jose Topgun,Goldfinger,0.6148
Jose Topgun,Goldy Finger,0.7626
Jose Topgun,Goose System,0.7465
Jose Topgun,Goose,0.6862
Jose Topgun,Maverick,0.7664
Jose Topgun,Twilight Grey,0.5890
Jose Topgun,46708275344@s.whatsapp.net,0.7338
Jose Topgun,Bad Boy,0.6827
Jose Topgun,Maverick.4444,0.5134
Twilight G,Big Boss,0.6561
Twilight G,Maverick SOB,0.6212
Twilight G,Goose System,0.5636
Twilight G,Goose,0.5207
Twilight G,Maverick,0.6039
Twilight G,Twilight Grey,0.6302
Twilight G,46708275344@s.whatsapp.net,0.5660
Twilight G,Bad Boy,0.6353
Twilight G,Maverick.4444,0.6478
Twilight G,Mike.Jonson,0.5309
Twilight G,blondtrip24,0.5009
Twilight Grey,Rupert Beae,0.5265
Twilight Grey,Big Boss,0.6354
Twilight Grey,Maverick SOB,0.6959
Twilight Grey,Goldfinger,0.6537
Twilight Grey,Goldy Finger,0.5786
Twilight Grey,Goose System,0.6878
Twilight Grey,Goose,0.5608
Twilight Grey,Maverick,0.6790
Twilight Grey,Jose Topgun,0.5890
Twilight Grey,Twilight G,0.6302
Twilight Grey,46708275344@s.whatsapp.net,0.6438
Twilight Grey,Bad Boy,0.6157
Twilight Grey,Maverick.4444,0.6200
Twilight Grey,Goose.4444,0.5277
Twilight Grey,Mike.Jonson,0.5134
46708275344@s.whatsapp.net,status@broadcast,0.5176
46708275344@s.whatsapp.net,Rupert Beae,0.7015
46708275344@s.whatsapp.net,Big Boss,0.6970
46708275344@s.whatsapp.net,Maverick SOB,0.8505
46708275344@s.whatsapp.net,Goldfinger,0.6982
46708275344@s.whatsapp.net,Goldy Finger,0.6737
46708275344@s.whatsapp.net,Goose System,0.8626
46708275344@s.whatsapp.net,Goose,0.7098
46708275344@s.whatsapp.net,Maverick,0.9783
46708275344@s.whatsapp.net,Jose Topgun,0.7338
46708275344@s.whatsapp.net,Twilight G,0.5660
46708275344@s.whatsapp.net,Twilight Grey,0.6438
46708275344@s.whatsapp.net,Bad Boy,0.7682
46708275344@s.whatsapp.net,Maverick.4444,0.7012
46708275344@s.whatsapp.net,Goose.4444,0.5531
Bad Boy,Rupert Beae,0.6137
Bad Boy,Big Boss,0.7391
Bad Boy,Maverick SOB,0.8551
Bad Boy,Goldfinger,0.6233
Bad Boy,Goldy Finger,0.5984
Bad Boy,Goose System,0.7800
Bad Boy,Goose,0.6859
Bad Boy,Maverick,0.8098
Bad Boy,Jose Topgun,0.6827
Bad Boy,Twilight G,0.6353
Bad Boy,Twilight Grey,0.6157
Bad Boy,46708275344@s.whatsapp.net,0.7682
Bad Boy,Maverick.4444,0.7156
Bad Boy,Goose.4444,0.5193
Bad Boy,Mike.Jonson,0.5406
Bad Boy,blondtrip24,0.5291
Mike Jonson,Big Boss,0.5453
Mike Jonson,Maverick SOB,0.5024
Mike Jonson,Maverick,0.5051
Mike Jonson,Maverick.4444,0.5707
Maverick.4444,Unmatched Telegram User,0.6227
Maverick.4444,Big Boss,0.7921
Maverick.4444,Maverick SOB,0.7305
Maverick.4444,Goldfinger,0.5805
Maverick.4444,Goose System,0.7167
Maverick.4444,Goose,0.5434
Maverick.4444,Maverick,0.7422
Maverick.4444,Jose Topgun,0.5134
Maverick.4444,Twilight G,0.6478
Maverick.4444,Twilight Grey,0.6200
Maverick.4444,46708275344@s.whatsapp.net,0.7012
Maverick.4444,Bad Boy,0.7156
Maverick.4444,Mike Jonson,0.5707
Maverick.4444,kikteam,0.5024
Maverick.4444,Goose.4444,0.5324
Maverick.4444,Mike.Jonson,0.6956
Maverick.4444,ladyancy96,0.5716
Maverick.4444,Gooooosssse,0.5462
Maverick.4444,blondtrip24,0.6590
kikteam,Big Boss,0.5093
kikteam,Maverick.4444,0.5024
Goose.4444,Big Boss,0.6126
Goose.4444,Maverick SOB,0.5831
Goose.4444,Goldfinger,0.5169
Goose.4444,Goose System,0.5324
Goose.4444,Maverick,0.5884
Goose.4444,Twilight Grey,0.5277
Goose.4444,46708275344@s.whatsapp.net,0.5531
Goose.4444,Bad Boy,0.5193
Goose.4444,Maverick.4444,0.5324
Goose.4444,blondtrip24,0.5192
Mike.Jonson,Big Boss,0.6557
Mike.Jonson,Maverick SOB,0.5649
Mike.Jonson,Goose System,0.5166
Mike.Jonson,Maverick,0.5186
Mike.Jonson,Twilight G,0.5309
Mike.Jonson,Twilight Grey,0.5134
Mike.Jonson,Bad Boy,0.5406
Mike.Jonson,Maverick.4444,0.6956
Mike.Jonson,ladyancy96,0.6258
Mike.Jonson,blondtrip24,0.6680
ladyancy96,Big Boss,0.5893
ladyancy96,Maverick.4444,0.5716
ladyancy96,Mike.Jonson,0.6258
ladyancy96,blondtrip24,0.8175
Gooooosssse,Big Boss,0.5425
Gooooosssse,Maverick.4444,0.5462
blondtrip24,Big Boss,0.6698
blondtrip24,Maverick SOB,0.5687
blondtrip24,Maverick,0.5338
blondtrip24,Twilight G,0.5009
blondtrip24,Bad Boy,0.5291
blondtrip24,Maverick.4444,0.6590
blondtrip24,Goose.4444,0.5192
blondtrip24,Mike.Jonson,0.6680
blondtrip24,ladyancy96,0.8175
